,▶ -> O_Create Offer,O_Create Offer -> O_Created,O_Created -> O_Sent (mail and online),O_Sent (mail and online) -> O_Cancelled,O_Cancelled -> ■,O_Sent (mail and online) -> O_Returned,O_Returned -> O_Accepted,O_Accepted -> ■,O_Created -> O_Cancelled,O_Created -> O_Sent (online only),O_Sent (online only) -> O_Returned,O_Returned -> O_Refused,O_Refused -> ■,O_Sent (mail and online) -> O_Refused,O_Returned -> O_Cancelled,O_Sent (online only) -> O_Cancelled,O_Returned -> ■,O_Sent (online only) -> O_Refused,O_Created -> O_Refused,O_Sent (mail and online) -> ■,O_Sent (online only) -> ■
2016-02-10 00:00:00+00:00,113,113,104,27,30,77,63,46,4,5,4,17,16,2,6,2,0,0,0,0,0
2016-02-11 00:00:00+00:00,142,142,130,52,62,71,41,47,5,7,2,4,16,5,9,5,0,0,0,0,0
2016-02-12 00:00:00+00:00,73,73,66,20,47,42,64,42,1,6,3,9,18,6,11,0,0,3,0,0,0
2016-02-13 00:00:00+00:00,80,80,77,34,12,39,0,0,1,2,0,2,0,4,1,0,0,2,0,0,0
2016-02-14 00:00:00+00:00,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-15 00:00:00+00:00,199,199,179,79,50,96,63,39,5,14,4,15,14,4,6,3,0,7,1,0,0
2016-02-16 00:00:00+00:00,116,116,108,42,46,64,56,50,3,5,2,13,23,1,11,2,0,1,0,0,0
2016-02-17 00:00:00+00:00,98,98,91,32,38,56,81,59,2,5,3,22,18,4,9,2,0,0,0,0,0
2016-02-18 00:00:00+00:00,95,95,88,32,40,56,42,28,3,4,2,9,31,1,7,2,0,0,0,0,0
2016-02-19 00:00:00+00:00,100,100,86,32,38,52,57,42,4,10,4,18,21,1,5,6,0,0,0,0,0
2016-02-20 00:00:00+00:00,73,73,67,28,12,37,2,3,4,2,0,0,0,3,0,2,0,0,0,0,0
2016-02-21 00:00:00+00:00,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-22 00:00:00+00:00,175,175,164,71,134,92,45,223,3,8,2,12,12,1,5,6,0,0,0,0,0
2016-02-23 00:00:00+00:00,251,251,239,94,46,140,44,59,7,5,0,6,19,4,5,5,0,0,0,0,0
2016-02-24 00:00:00+00:00,133,133,127,54,33,72,80,69,1,5,4,17,31,1,7,1,0,0,0,0,0
2016-02-25 00:00:00+00:00,92,92,88,31,62,57,42,69,1,3,2,14,7,1,4,1,0,0,0,0,0
2016-02-26 00:00:00+00:00,110,110,97,36,48,57,57,38,6,7,1,14,19,3,6,5,0,1,0,0,0
2016-02-27 00:00:00+00:00,78,78,74,21,26,50,6,1,3,1,0,1,0,1,1,0,0,1,0,0,0
2016-02-28 00:00:00+00:00,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-02-29 00:00:00+00:00,172,172,158,60,459,96,63,67,2,12,7,10,13,3,10,5,0,0,0,0,0
2016-03-01 00:00:00+00:00,156,156,142,55,38,83,69,47,7,7,3,8,11,5,11,4,0,0,0,0,0
2016-03-02 00:00:00+00:00,144,144,135,51,39,81,98,71,4,5,2,23,14,2,9,2,0,0,0,0,0
2016-03-03 00:00:00+00:00,124,124,111,56,180,54,51,43,5,8,5,11,13,1,12,3,0,1,0,0,0
2016-03-04 00:00:00+00:00,105,105,97,39,46,54,63,60,3,5,3,14,32,2,5,2,0,0,0,0,0
2016-03-05 00:00:00+00:00,62,62,57,18,47,39,5,5,2,3,0,1,0,1,0,3,0,0,0,0,0
2016-03-06 00:00:00+00:00,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-07 00:00:00+00:00,171,171,158,55,69,98,60,53,7,6,3,12,21,1,8,3,0,0,0,0,0
2016-03-08 00:00:00+00:00,145,145,126,58,64,67,54,73,5,14,4,13,32,4,11,8,0,2,0,0,0
2016-03-09 00:00:00+00:00,116,116,99,49,35,49,111,65,3,14,9,22,28,0,9,4,0,1,0,0,0
2016-03-10 00:00:00+00:00,137,137,125,58,66,68,63,61,8,3,2,17,17,2,4,1,0,0,1,0,0
2016-03-11 00:00:00+00:00,114,114,108,46,58,60,57,36,3,3,0,12,12,2,5,3,0,0,0,0,0
2016-03-12 00:00:00+00:00,63,63,57,23,29,32,0,2,2,4,2,0,1,2,0,2,0,0,0,0,0
2016-03-13 00:00:00+00:00,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-14 00:00:00+00:00,133,133,124,52,52,69,56,60,4,5,2,14,13,2,3,2,0,1,0,0,0
2016-03-15 00:00:00+00:00,126,126,115,52,55,64,36,52,5,6,3,10,13,2,6,3,0,0,0,0,0
2016-03-16 00:00:00+00:00,151,151,140,65,25,70,98,47,2,8,4,15,14,3,15,3,0,1,1,0,0
2016-03-17 00:00:00+00:00,152,152,139,60,80,76,39,39,8,5,3,7,21,3,5,2,0,0,0,0,0
2016-03-18 00:00:00+00:00,161,161,146,63,72,80,61,40,8,7,4,6,10,4,8,3,0,0,0,0,0
2016-03-19 00:00:00+00:00,63,63,60,31,30,26,4,2,2,1,1,1,0,2,0,0,0,0,0,0,0
2016-03-20 00:00:00+00:00,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-21 00:00:00+00:00,191,191,182,70,50,109,44,45,3,6,2,12,12,3,8,4,0,0,0,0,0
2016-03-22 00:00:00+00:00,127,127,122,54,110,67,35,221,2,3,2,7,14,1,3,1,0,0,0,0,0
2016-03-23 00:00:00+00:00,104,104,97,41,28,56,115,52,3,4,1,18,14,0,15,3,0,0,0,0,0
2016-03-24 00:00:00+00:00,91,91,84,30,78,51,55,76,1,6,3,10,12,2,6,2,0,1,0,0,0
2016-03-25 00:00:00+00:00,100,100,95,43,89,53,52,31,3,2,1,13,4,1,6,1,0,0,0,0,0
2016-03-26 00:00:00+00:00,61,61,59,16,41,42,10,0,1,1,0,1,1,1,0,0,0,1,0,0,0
2016-03-27 00:00:00+00:00,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-03-28 00:00:00+00:00,62,62,52,25,31,26,2,4,0,10,2,1,0,2,1,8,0,0,0,0,0
2016-03-29 00:00:00+00:00,174,174,159,52,45,104,90,60,5,10,8,19,15,2,9,2,0,0,0,0,0
2016-03-30 00:00:00+00:00,124,124,113,46,50,65,45,74,9,2,2,9,18,1,4,0,0,0,0,0,0
2016-03-31 00:00:00+00:00,108,108,93,40,52,54,61,77,8,7,6,11,27,1,9,0,0,0,0,0,0
2016-04-01 00:00:00+00:00,90,90,79,30,65,49,40,46,2,9,7,20,26,0,7,3,0,0,0,0,0
2016-04-02 00:00:00+00:00,36,36,34,4,37,28,2,1,0,2,1,1,0,2,0,1,0,0,0,0,0
2016-04-03 00:00:00+00:00,0,0,0,0,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-04-04 00:00:00+00:00,121,121,113,47,57,63,71,59,4,4,3,10,14,2,10,1,0,0,0,0,0
2016-04-05 00:00:00+00:00,146,146,137,45,45,89,51,45,2,6,4,10,15,2,6,2,0,0,1,0,0
2016-04-06 00:00:00+00:00,95,95,84,27,28,55,90,66,2,9,8,11,22,3,11,1,0,0,0,0,0
2016-04-07 00:00:00+00:00,114,114,106,47,74,55,44,75,2,6,5,15,6,2,3,1,0,0,0,0,0
2016-04-08 00:00:00+00:00,123,123,113,55,59,56,54,54,3,7,4,6,19,3,7,3,0,0,0,0,0
2016-04-09 00:00:00+00:00,75,75,70,45,40,21,6,1,2,3,1,0,1,5,0,1,0,1,0,0,0
2016-04-10 00:00:00+00:00,0,0,0,0,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-11 00:00:00+00:00,164,164,151,61,58,88,64,53,9,4,2,11,14,1,4,1,0,1,0,0,0
2016-04-12 00:00:00+00:00,112,112,107,48,44,58,36,41,3,2,0,9,10,2,6,1,0,1,0,0,0
2016-04-13 00:00:00+00:00,144,144,137,56,28,80,79,51,4,3,1,18,14,1,11,1,0,1,0,0,0
2016-04-14 00:00:00+00:00,140,140,133,52,72,81,55,46,4,3,2,10,10,0,9,1,0,0,0,0,0
2016-04-15 00:00:00+00:00,113,113,104,44,58,56,48,16,4,5,2,8,5,5,7,3,0,0,0,0,0
2016-04-16 00:00:00+00:00,79,79,74,39,52,34,2,0,2,3,0,0,0,1,0,3,0,0,0,0,0
2016-04-17 00:00:00+00:00,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-18 00:00:00+00:00,148,148,137,51,58,85,57,41,3,8,4,16,17,1,7,4,0,0,0,0,0
2016-04-19 00:00:00+00:00,135,135,130,53,52,74,52,35,2,3,1,12,21,3,5,2,0,0,0,0,0
2016-04-20 00:00:00+00:00,104,104,96,37,30,56,88,37,6,2,1,12,5,3,11,1,0,0,0,0,0
2016-04-21 00:00:00+00:00,97,97,92,44,71,46,52,39,3,2,2,7,26,2,9,0,0,0,0,0,0
2016-04-22 00:00:00+00:00,120,120,106,46,113,58,36,234,4,9,5,11,6,2,5,4,0,0,1,0,0
2016-04-23 00:00:00+00:00,61,61,59,26,33,33,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2016-04-24 00:00:00+00:00,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-04-25 00:00:00+00:00,170,170,155,65,66,86,45,51,7,8,3,8,15,3,7,5,0,0,0,0,0
2016-04-26 00:00:00+00:00,115,115,108,45,39,61,44,60,1,6,2,5,21,2,8,4,0,0,0,0,0
2016-04-27 00:00:00+00:00,35,35,35,14,3,20,2,4,0,0,0,1,1,1,1,0,0,0,0,0,0
2016-04-28 00:00:00+00:00,107,107,99,27,62,67,77,74,4,4,1,17,20,4,13,3,0,0,0,0,0
2016-04-29 00:00:00+00:00,136,136,128,48,76,75,54,73,1,7,4,9,12,4,6,3,0,0,0,0,0
2016-04-30 00:00:00+00:00,52,52,49,26,35,23,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0
2016-05-01 00:00:00+00:00,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-02 00:00:00+00:00,134,134,123,49,38,71,73,39,4,7,7,18,15,3,15,0,0,0,0,0,0
2016-05-03 00:00:00+00:00,159,159,150,43,45,97,44,74,3,6,4,8,8,8,8,2,0,0,0,0,0
2016-05-04 00:00:00+00:00,83,83,73,31,18,41,100,46,0,10,5,19,18,0,11,4,0,1,0,0,0
2016-05-05 00:00:00+00:00,37,37,34,20,35,15,0,4,0,3,1,0,0,0,0,2,0,0,0,0,0
2016-05-06 00:00:00+00:00,158,158,149,60,57,86,60,65,2,5,1,15,13,3,8,3,0,1,2,0,0
2016-05-07 00:00:00+00:00,60,60,58,32,23,24,0,0,0,1,0,0,1,2,0,1,0,0,1,0,0
2016-05-08 00:00:00+00:00,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-09 00:00:00+00:00,134,134,124,43,61,76,56,29,8,2,0,9,11,6,8,2,0,0,0,0,0
2016-05-10 00:00:00+00:00,135,135,126,45,48,77,68,42,1,7,2,14,21,3,8,5,0,0,1,0,0
2016-05-11 00:00:00+00:00,96,96,83,31,29,48,70,57,4,9,7,20,15,3,14,1,0,1,0,0,0
2016-05-12 00:00:00+00:00,106,106,97,39,62,57,62,54,5,4,1,18,18,0,11,2,0,1,0,0,0
2016-05-13 00:00:00+00:00,92,92,82,37,54,43,44,46,1,9,3,11,28,1,13,5,0,1,0,0,0
2016-05-14 00:00:00+00:00,45,45,44,20,37,26,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0
2016-05-15 00:00:00+00:00,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-16 00:00:00+00:00,73,73,70,32,33,38,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-17 00:00:00+00:00,156,156,144,56,53,83,82,47,5,7,3,20,15,5,12,4,0,0,0,0,0
2016-05-18 00:00:00+00:00,139,139,129,60,30,65,39,64,2,7,5,7,18,4,8,2,0,0,1,0,0
2016-05-19 00:00:00+00:00,90,90,78,38,55,41,49,31,4,7,2,11,21,1,5,5,0,0,1,0,0
2016-05-20 00:00:00+00:00,89,89,71,40,61,26,43,41,6,12,6,10,27,5,9,5,0,1,0,0,0
2016-05-21 00:00:00+00:00,32,32,32,16,25,18,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0
2016-05-22 00:00:00+00:00,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-23 00:00:00+00:00,160,160,147,62,184,79,56,233,4,7,5,13,16,6,11,2,0,0,2,0,0
2016-05-24 00:00:00+00:00,106,106,90,38,47,51,42,47,2,13,3,8,18,1,7,8,0,2,1,0,0
2016-05-25 00:00:00+00:00,98,98,88,36,69,50,55,62,4,6,4,16,10,2,14,2,0,0,0,0,0
2016-05-26 00:00:00+00:00,146,146,131,62,35,66,34,57,6,9,4,7,21,3,4,5,0,0,0,0,0
2016-05-27 00:00:00+00:00,86,86,78,48,43,28,36,34,2,5,3,12,7,2,18,2,0,0,1,0,0
2016-05-28 00:00:00+00:00,438,438,416,252,25,140,0,0,5,17,6,0,0,24,0,8,0,1,0,0,0
2016-05-29 00:00:00+00:00,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-05-30 00:00:00+00:00,187,187,166,62,53,99,40,36,8,12,12,8,21,2,21,1,0,0,1,0,0
2016-05-31 00:00:00+00:00,109,109,99,32,50,67,51,57,3,7,6,7,17,1,18,1,0,0,0,0,0
2016-06-01 00:00:00+00:00,127,127,124,53,39,73,60,43,1,2,3,18,9,0,26,0,0,0,0,0,0
2016-06-02 00:00:00+00:00,95,95,92,30,78,60,61,41,2,1,1,9,16,2,14,0,0,0,0,0,0
2016-06-03 00:00:00+00:00,92,92,81,35,66,45,56,56,2,9,2,8,12,1,19,7,0,0,0,0,0
2016-06-04 00:00:00+00:00,63,63,55,26,31,27,2,2,5,3,0,0,1,2,0,3,0,0,0,0,0
2016-06-05 00:00:00+00:00,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-06 00:00:00+00:00,240,240,224,99,79,118,55,47,6,10,5,18,21,7,2,5,0,0,0,0,0
2016-06-07 00:00:00+00:00,164,164,153,60,69,87,54,47,5,6,2,16,26,4,8,4,0,0,0,0,0
2016-06-08 00:00:00+00:00,178,178,169,53,50,113,80,58,3,6,2,9,16,3,11,4,0,0,0,0,0
2016-06-09 00:00:00+00:00,152,152,137,49,44,86,51,40,4,11,8,14,8,3,8,3,0,0,0,0,0
2016-06-10 00:00:00+00:00,129,129,121,45,54,69,68,37,5,3,1,9,10,3,6,2,0,0,0,0,0
2016-06-11 00:00:00+00:00,136,136,134,66,18,70,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2016-06-12 00:00:00+00:00,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-13 00:00:00+00:00,184,184,167,58,52,102,73,42,5,12,7,10,22,9,8,4,0,1,0,0,0
2016-06-14 00:00:00+00:00,170,170,152,54,42,91,55,37,11,7,2,10,12,6,6,4,0,1,0,0,0
2016-06-15 00:00:00+00:00,167,167,154,90,35,60,105,69,5,8,7,22,9,5,12,1,0,0,0,0,0
2016-06-16 00:00:00+00:00,158,158,148,65,39,78,69,41,6,4,4,11,16,5,12,0,0,0,0,0,0
2016-06-17 00:00:00+00:00,120,120,109,40,43,67,59,31,7,4,2,13,24,3,17,2,0,0,0,0,0
2016-06-18 00:00:00+00:00,86,86,83,21,31,58,4,8,2,1,0,1,1,4,1,0,0,1,0,0,0
2016-06-19 00:00:00+00:00,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-20 00:00:00+00:00,171,171,165,58,59,100,55,40,0,6,4,10,13,3,13,2,0,0,0,0,0
2016-06-21 00:00:00+00:00,199,199,182,87,38,94,55,30,7,10,4,10,15,3,8,5,0,1,0,0,0
2016-06-22 00:00:00+00:00,231,231,216,79,136,132,89,263,6,9,6,23,17,4,9,3,0,0,0,0,0
2016-06-23 00:00:00+00:00,170,170,161,55,64,103,69,78,1,7,7,9,25,3,6,0,0,0,1,0,0
2016-06-24 00:00:00+00:00,108,108,100,46,55,52,88,84,1,7,1,16,15,2,13,5,0,1,0,0,0
2016-06-25 00:00:00+00:00,84,84,75,30,25,43,1,3,4,5,0,0,0,1,1,5,0,0,0,0,0
2016-06-26 00:00:00+00:00,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-06-27 00:00:00+00:00,164,164,148,49,432,98,76,56,4,11,4,14,18,1,10,6,0,1,1,0,0
2016-06-28 00:00:00+00:00,167,167,156,60,34,91,65,55,5,6,1,11,10,4,13,3,0,1,0,0,0
2016-06-29 00:00:00+00:00,172,172,153,65,52,90,126,74,8,11,5,22,23,2,19,2,0,1,0,0,0
2016-06-30 00:00:00+00:00,160,160,156,52,63,94,60,55,1,3,3,11,8,10,7,4,0,0,0,0,0
2016-07-01 00:00:00+00:00,110,110,105,42,34,57,67,40,0,5,2,13,10,3,13,2,0,1,0,0,0
2016-07-02 00:00:00+00:00,73,73,68,26,29,40,2,0,2,3,0,0,0,1,0,2,0,0,0,0,0
2016-07-03 00:00:00+00:00,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-04 00:00:00+00:00,571,571,558,375,65,151,60,46,10,3,2,18,23,35,7,1,0,0,0,0,0
2016-07-05 00:00:00+00:00,220,220,204,78,51,122,62,44,9,6,3,11,29,2,14,3,0,1,1,0,0
2016-07-06 00:00:00+00:00,128,128,119,58,53,59,116,69,1,8,3,24,12,2,19,5,0,0,0,0,0
2016-07-07 00:00:00+00:00,145,145,128,50,102,74,63,69,4,13,6,14,21,6,8,6,0,0,0,0,0
2016-07-08 00:00:00+00:00,145,145,131,47,81,80,80,80,7,7,4,12,24,3,20,3,0,0,0,0,0
2016-07-09 00:00:00+00:00,52,52,47,19,55,28,2,0,4,1,1,0,1,0,2,0,0,0,0,0,0
2016-07-10 00:00:00+00:00,98,98,94,33,38,57,0,0,3,1,1,0,0,5,0,0,0,0,0,0,0
2016-07-11 00:00:00+00:00,253,253,244,89,74,147,89,63,3,6,4,15,14,6,16,2,0,0,0,0,0
2016-07-12 00:00:00+00:00,226,226,211,82,106,128,73,72,2,13,5,7,24,1,5,9,0,0,0,0,0
2016-07-13 00:00:00+00:00,175,175,165,58,41,100,126,49,2,8,3,22,22,9,22,5,0,0,0,0,0
2016-07-14 00:00:00+00:00,153,153,139,57,83,76,62,68,2,12,6,14,43,6,6,6,0,0,0,0,0
