,▶ -> O_Create Offer,O_Create Offer -> O_Created,O_Created -> O_Sent (mail and online),O_Sent (mail and online) -> O_Cancelled,O_Cancelled -> ■,O_Sent (mail and online) -> O_Returned,O_Returned -> O_Accepted,O_Accepted -> ■,O_Created -> O_Cancelled,O_Created -> O_Sent (online only),O_Sent (online only) -> O_Returned,O_Returned -> O_Refused,O_Refused -> ■,O_Sent (mail and online) -> O_Refused,O_Returned -> O_Cancelled,O_Sent (online only) -> O_Cancelled,O_Returned -> ■,O_Sent (online only) -> O_Refused,O_Created -> O_Refused,O_Sent (mail and online) -> ■,O_Sent (online only) -> ■
2016-07-15 00:00:00+00:00,153,153,140,45,68,94,103,57,4,9,2,22,13,1,11,7,0,0,0,0,0
2016-07-16 00:00:00+00:00,107,107,105,36,45,65,5,5,1,1,0,0,1,4,0,1,0,0,0,0,0
2016-07-17 00:00:00+00:00,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-07-18 00:00:00+00:00,188,188,176,60,63,111,84,44,6,6,3,20,10,4,11,3,0,0,0,0,0
2016-07-19 00:00:00+00:00,140,140,128,44,54,81,77,53,3,8,3,14,31,2,6,3,0,2,1,0,0
2016-07-20 00:00:00+00:00,156,156,133,60,46,70,103,56,11,11,3,13,22,5,12,8,0,0,1,0,0
2016-07-21 00:00:00+00:00,134,134,122,43,64,79,86,45,3,9,6,17,13,0,7,2,0,1,0,0,0
2016-07-22 00:00:00+00:00,90,90,79,28,258,48,78,428,6,5,2,19,31,3,6,2,0,1,0,0,0
2016-07-23 00:00:00+00:00,51,51,43,13,56,28,2,1,3,5,2,0,0,2,0,3,0,0,0,0,0
2016-07-24 00:00:00+00:00,0,0,0,0,35,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-07-25 00:00:00+00:00,136,136,127,47,78,78,59,92,6,3,1,14,26,3,9,2,0,0,0,0,0
2016-07-26 00:00:00+00:00,155,155,145,52,63,89,50,93,1,7,4,16,27,2,7,3,0,0,2,0,0
2016-07-27 00:00:00+00:00,168,168,154,62,44,87,106,87,5,9,7,20,16,4,13,1,0,1,0,0,0
2016-07-28 00:00:00+00:00,186,186,177,74,57,96,58,57,3,6,2,11,13,3,5,4,0,0,0,0,0
2016-07-29 00:00:00+00:00,119,119,108,46,78,61,62,68,5,6,2,17,24,3,16,4,0,0,0,0,0
2016-07-30 00:00:00+00:00,55,55,51,24,55,24,9,10,1,3,2,1,3,3,0,1,0,0,0,0,0
2016-07-31 00:00:00+00:00,87,87,84,34,30,53,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0
2016-08-01 00:00:00+00:00,212,212,202,66,58,129,77,51,3,5,2,18,24,5,8,3,0,0,2,0,0
2016-08-02 00:00:00+00:00,164,164,155,66,55,86,60,47,1,8,4,12,15,5,12,4,0,0,0,0,0
2016-08-03 00:00:00+00:00,159,159,143,56,40,80,89,47,6,10,4,29,18,4,11,4,0,2,0,0,0
2016-08-04 00:00:00+00:00,197,197,188,80,204,100,91,55,5,3,2,12,12,8,7,1,0,0,1,0,0
2016-08-05 00:00:00+00:00,95,95,80,31,66,48,92,61,2,13,6,22,14,3,16,7,0,0,0,0,0
2016-08-06 00:00:00+00:00,53,53,46,20,37,25,0,0,3,4,0,0,2,1,0,4,0,0,0,0,0
2016-08-07 00:00:00+00:00,0,0,0,0,47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-08 00:00:00+00:00,180,180,167,70,69,95,73,50,8,4,1,18,10,1,7,2,0,1,1,0,0
2016-08-09 00:00:00+00:00,225,225,210,95,47,117,53,51,9,6,5,11,11,1,4,1,0,0,0,0,0
2016-08-10 00:00:00+00:00,186,186,178,76,53,99,106,67,4,4,1,19,29,3,16,3,0,0,0,0,0
2016-08-11 00:00:00+00:00,197,197,187,86,100,99,55,69,3,7,5,12,22,3,10,1,0,1,0,0,0
2016-08-12 00:00:00+00:00,131,131,120,47,95,69,65,47,4,7,3,9,14,3,9,4,0,0,0,0,0
2016-08-13 00:00:00+00:00,50,50,48,24,53,23,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0
2016-08-14 00:00:00+00:00,0,0,0,0,22,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-15 00:00:00+00:00,151,151,136,50,53,79,70,50,3,10,4,8,16,7,11,4,0,2,2,0,0
2016-08-16 00:00:00+00:00,167,167,154,62,60,88,55,44,4,9,3,5,23,4,12,5,0,0,0,0,0
2016-08-17 00:00:00+00:00,149,149,137,61,47,73,131,56,4,8,5,23,16,3,15,3,0,1,0,0,0
2016-08-18 00:00:00+00:00,194,194,185,62,66,118,68,46,6,3,3,8,17,4,8,0,0,0,0,0,0
2016-08-19 00:00:00+00:00,97,97,84,37,64,47,53,42,3,10,6,11,17,1,9,4,0,0,0,0,0
2016-08-20 00:00:00+00:00,26,26,23,4,48,18,1,0,1,2,2,1,0,0,0,0,0,0,0,0,0
2016-08-21 00:00:00+00:00,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-08-22 00:00:00+00:00,193,193,174,68,160,105,68,372,7,12,7,9,23,2,5,4,0,1,0,0,0
2016-08-23 00:00:00+00:00,198,198,187,73,57,110,49,80,4,6,2,9,18,3,7,4,0,0,1,0,0
2016-08-24 00:00:00+00:00,171,171,152,63,46,86,99,77,6,13,7,13,18,5,13,6,0,0,0,0,0
2016-08-25 00:00:00+00:00,139,139,125,46,70,78,63,82,3,11,2,16,14,2,8,8,0,1,0,0,0
2016-08-26 00:00:00+00:00,124,124,119,54,61,62,57,55,0,5,4,10,14,3,9,1,0,0,0,0,0
2016-08-27 00:00:00+00:00,74,74,67,20,56,46,2,0,6,0,0,1,0,0,0,0,0,0,1,0,0
2016-08-28 00:00:00+00:00,0,0,0,0,39,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-08-29 00:00:00+00:00,204,204,180,73,86,105,11,84,4,19,10,4,13,1,1,8,0,1,1,0,0
2016-08-30 00:00:00+00:00,171,171,160,62,59,97,102,70,5,6,4,19,27,1,8,2,0,0,0,0,0
2016-08-31 00:00:00+00:00,160,160,152,51,61,96,86,79,1,7,6,12,16,5,10,1,0,0,0,0,0
2016-09-01 00:00:00+00:00,174,174,160,75,67,80,110,40,7,7,2,24,22,5,18,4,0,1,0,0,0
2016-09-02 00:00:00+00:00,141,141,132,63,75,66,65,37,5,2,0,6,25,3,13,1,0,1,2,0,0
2016-09-03 00:00:00+00:00,68,68,67,33,53,32,4,18,0,1,0,0,0,0,0,1,0,0,0,0,0
2016-09-04 00:00:00+00:00,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-05 00:00:00+00:00,155,155,146,51,55,93,65,62,7,2,2,16,9,3,4,0,0,0,0,0,0
2016-09-06 00:00:00+00:00,130,130,118,46,48,67,84,64,5,6,4,11,27,4,5,2,0,0,1,0,0
2016-09-07 00:00:00+00:00,200,200,183,62,22,120,105,60,2,13,6,28,22,4,16,6,0,1,2,0,0
2016-09-08 00:00:00+00:00,204,204,193,65,58,127,55,58,2,9,7,24,23,2,17,2,0,0,0,0,0
2016-09-09 00:00:00+00:00,151,151,147,55,82,89,55,54,1,3,0,14,13,3,14,3,0,0,0,0,0
2016-09-10 00:00:00+00:00,112,112,107,39,59,67,7,9,1,4,3,0,5,1,2,1,0,0,0,0,0
2016-09-11 00:00:00+00:00,0,0,0,0,52,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-12 00:00:00+00:00,142,142,131,44,67,86,69,56,3,8,6,20,18,1,13,2,0,0,0,0,0
2016-09-13 00:00:00+00:00,244,244,227,92,56,123,63,59,9,8,6,5,29,10,4,2,0,0,0,0,0
2016-09-14 00:00:00+00:00,176,176,167,72,37,94,128,60,4,4,1,26,8,2,21,3,0,0,1,0,0
2016-09-15 00:00:00+00:00,165,165,157,69,60,83,56,43,4,4,3,16,29,4,6,1,0,0,0,0,0
2016-09-16 00:00:00+00:00,146,146,133,50,79,79,77,35,9,3,1,11,22,3,15,2,0,0,1,0,0
2016-09-17 00:00:00+00:00,86,86,80,34,42,43,0,7,1,5,3,1,1,4,0,2,0,0,0,0,0
2016-09-18 00:00:00+00:00,0,0,0,0,41,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-09-19 00:00:00+00:00,193,193,180,77,70,99,65,31,8,5,2,16,26,4,10,3,0,0,0,0,0
2016-09-20 00:00:00+00:00,215,215,200,87,32,110,52,30,5,10,3,11,24,1,9,7,0,0,0,0,0
2016-09-21 00:00:00+00:00,169,169,158,75,35,79,118,38,6,5,4,27,8,5,15,1,0,0,0,0,0
2016-09-22 00:00:00+00:00,186,186,171,83,154,86,67,370,4,11,8,19,12,3,12,3,0,0,0,0,0
2016-09-23 00:00:00+00:00,137,137,124,52,83,73,91,70,7,6,0,13,19,0,4,6,0,0,0,0,0
2016-09-24 00:00:00+00:00,98,98,96,45,42,50,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0
2016-09-25 00:00:00+00:00,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-09-26 00:00:00+00:00,176,176,163,68,86,90,72,76,1,12,4,17,17,2,10,7,0,1,0,0,0
2016-09-27 00:00:00+00:00,187,187,168,73,50,92,68,100,2,17,8,9,16,3,9,9,0,0,0,0,0
2016-09-28 00:00:00+00:00,175,175,161,68,37,90,123,80,3,10,5,30,20,6,10,4,0,1,1,0,0
2016-09-29 00:00:00+00:00,190,190,174,64,118,106,55,74,4,11,3,12,29,4,8,6,0,1,1,0,0
2016-09-30 00:00:00+00:00,143,143,130,55,96,69,76,120,2,10,1,21,18,7,7,8,0,0,1,0,0
2016-10-01 00:00:00+00:00,54,54,48,18,39,30,0,9,5,1,0,0,7,0,0,2,0,0,0,0,0
2016-10-02 00:00:00+00:00,2,2,0,0,57,0,0,6,0,2,2,0,11,0,0,0,0,0,0,0,0
2016-10-03 00:00:00+00:00,186,186,176,66,81,108,60,69,3,6,1,13,18,2,8,5,0,0,1,0,0
2016-10-04 00:00:00+00:00,187,187,171,49,45,117,67,66,3,13,4,9,25,4,10,8,0,0,0,0,0
2016-10-05 00:00:00+00:00,139,139,123,44,38,74,128,65,9,7,6,22,28,5,17,1,0,0,0,0,0
2016-10-06 00:00:00+00:00,148,148,133,61,77,67,77,58,10,5,3,7,23,4,8,2,0,1,0,0,0
2016-10-07 00:00:00+00:00,161,161,150,67,72,78,77,70,3,8,6,9,30,6,12,3,0,0,0,0,0
2016-10-08 00:00:00+00:00,66,66,59,27,58,31,3,23,3,4,3,0,4,1,0,1,0,0,0,0,0
2016-10-09 00:00:00+00:00,0,0,0,0,41,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-10 00:00:00+00:00,173,173,158,57,79,93,49,69,4,11,6,13,16,5,7,4,0,1,0,0,0
2016-10-11 00:00:00+00:00,169,169,155,67,74,84,77,77,4,10,8,20,20,3,14,2,0,0,0,0,0
2016-10-12 00:00:00+00:00,128,128,117,58,29,55,121,55,1,10,6,38,24,4,16,4,0,0,0,0,0
2016-10-13 00:00:00+00:00,177,177,163,66,80,97,59,49,5,8,7,18,16,1,6,1,0,0,1,0,0
2016-10-14 00:00:00+00:00,135,135,125,43,76,78,71,50,4,6,3,15,41,5,11,3,0,0,0,0,0
2016-10-15 00:00:00+00:00,61,61,55,24,60,28,4,4,3,3,1,0,0,2,0,2,0,0,0,0,0
2016-10-16 00:00:00+00:00,2,2,2,1,37,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-10-17 00:00:00+00:00,169,169,155,63,69,92,67,61,5,9,6,15,20,1,5,3,0,0,0,0,0
2016-10-18 00:00:00+00:00,185,185,162,59,58,96,64,44,6,17,7,13,32,6,6,10,0,0,0,0,0
2016-10-19 00:00:00+00:00,205,205,185,73,34,110,99,37,11,9,4,25,21,2,8,4,0,1,0,0,0
2016-10-20 00:00:00+00:00,122,122,112,44,76,66,45,37,4,6,2,14,25,1,3,4,0,0,0,0,0
2016-10-21 00:00:00+00:00,156,156,146,52,102,92,67,38,3,6,3,18,20,1,8,3,0,0,1,0,0
2016-10-22 00:00:00+00:00,66,66,63,24,60,41,1,6,2,1,0,0,0,0,0,1,0,0,0,0,0
2016-10-23 00:00:00+00:00,0,0,0,0,56,0,0,9,0,0,0,0,3,0,0,0,0,0,0,0,0
2016-10-24 00:00:00+00:00,179,179,159,60,230,93,59,472,8,12,8,12,18,4,16,4,0,0,0,0,0
2016-10-25 00:00:00+00:00,258,258,247,103,73,137,60,60,4,7,4,18,14,5,10,2,0,1,0,0,0
2016-10-26 00:00:00+00:00,176,176,162,68,33,93,113,60,5,9,6,25,26,3,10,3,0,0,0,0,0
2016-10-27 00:00:00+00:00,125,125,113,45,64,64,54,66,4,7,5,8,16,4,6,2,0,0,1,0,0
2016-10-28 00:00:00+00:00,143,143,126,48,91,73,93,67,12,5,4,15,10,5,7,1,0,0,0,0,0
2016-10-29 00:00:00+00:00,122,122,112,51,49,59,0,0,5,5,1,0,0,2,0,4,0,0,0,0,0
2016-10-30 00:00:00+00:00,0,0,0,0,42,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-10-31 00:00:00+00:00,232,232,219,97,77,118,74,71,6,7,5,14,20,2,10,1,0,1,0,0,0
2016-11-01 00:00:00+00:00,182,182,159,65,44,91,67,42,7,16,10,8,31,3,8,6,1,0,0,0,0
2016-11-02 00:00:00+00:00,138,138,122,53,59,67,107,60,7,9,1,21,11,1,17,8,0,0,0,0,0
2016-11-03 00:00:00+00:00,123,123,105,36,96,64,53,83,9,9,5,17,11,2,8,4,0,0,0,1,0
2016-11-04 00:00:00+00:00,144,144,134,67,75,64,50,55,6,4,3,12,12,4,8,1,0,0,0,0,0
2016-11-05 00:00:00+00:00,96,96,94,42,33,49,12,0,2,0,0,4,0,2,2,0,0,0,0,0,0
2016-11-06 00:00:00+00:00,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-11-07 00:00:00+00:00,185,185,176,81,80,87,81,39,5,4,3,17,17,4,16,0,0,1,0,0,0
2016-11-08 00:00:00+00:00,144,144,132,54,63,76,65,51,1,10,6,15,32,4,4,3,0,1,1,0,0
2016-11-09 00:00:00+00:00,176,176,169,59,29,102,84,54,2,5,2,16,18,4,12,1,1,2,0,0,0
2016-11-10 00:00:00+00:00,124,124,108,37,72,66,55,47,1,15,7,12,9,2,7,7,0,0,0,0,0
2016-11-11 00:00:00+00:00,133,133,126,46,62,75,68,47,3,4,3,18,22,4,3,1,0,0,0,0,0
2016-11-12 00:00:00+00:00,81,81,78,37,48,41,3,2,3,0,0,0,2,0,1,0,0,0,0,0,0
2016-11-13 00:00:00+00:00,0,0,0,0,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2016-11-14 00:00:00+00:00,180,180,169,60,59,100,76,48,1,9,3,17,17,3,9,6,0,0,1,0,0
2016-11-15 00:00:00+00:00,159,159,150,56,54,90,65,46,2,7,4,17,21,4,8,3,1,0,0,0,0
2016-11-16 00:00:00+00:00,145,145,133,53,35,78,89,44,3,9,4,24,18,0,14,5,1,0,0,0,0
2016-11-17 00:00:00+00:00,136,136,121,53,73,62,66,44,5,10,6,17,19,2,8,2,0,1,0,0,0
2016-11-18 00:00:00+00:00,107,107,91,33,73,56,75,50,4,11,8,16,18,2,11,3,0,0,0,0,0
2016-11-19 00:00:00+00:00,79,79,73,26,57,40,2,1,6,0,0,1,1,2,1,0,0,0,0,0,0
2016-11-20 00:00:00+00:00,0,0,0,0,32,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0
2016-11-21 00:00:00+00:00,201,201,187,76,62,103,64,29,8,6,5,18,15,6,5,1,0,0,0,0,0
2016-11-22 00:00:00+00:00,201,201,183,90,168,86,54,389,8,10,5,7,25,5,1,5,0,0,0,1,0
2016-11-23 00:00:00+00:00,133,133,121,44,50,73,87,81,5,7,5,26,18,2,15,1,0,0,0,0,0
2016-11-24 00:00:00+00:00,128,128,122,16,77,63,52,68,4,2,2,6,28,3,9,0,0,0,0,0,0
2016-11-25 00:00:00+00:00,141,141,130,22,93,63,73,78,1,10,6,11,17,4,8,4,0,0,0,0,0
2016-11-26 00:00:00+00:00,94,94,90,14,45,51,3,0,3,1,0,0,0,2,0,1,0,0,0,0,0
2016-11-27 00:00:00+00:00,0,0,0,0,25,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0
2016-11-28 00:00:00+00:00,199,199,182,23,79,107,57,75,5,12,7,17,29,12,4,2,0,0,0,1,0
2016-11-29 00:00:00+00:00,143,143,130,12,67,84,47,65,5,8,3,8,20,4,3,4,0,0,0,1,0
2016-11-30 00:00:00+00:00,128,128,119,16,45,68,97,89,3,6,5,20,22,0,15,0,0,0,0,0,1
2016-12-01 00:00:00+00:00,140,140,128,9,89,80,54,47,5,6,3,9,20,6,14,2,0,0,1,0,0
2016-12-02 00:00:00+00:00,112,112,102,17,78,51,69,61,0,10,6,17,21,3,6,1,0,0,0,0,0
2016-12-03 00:00:00+00:00,77,77,73,11,51,36,0,2,1,3,3,0,0,2,0,1,0,0,0,1,0
2016-12-04 00:00:00+00:00,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-05 00:00:00+00:00,230,230,218,31,87,103,65,65,4,8,3,14,18,4,7,4,0,0,0,0,0
2016-12-06 00:00:00+00:00,130,130,115,10,51,68,71,38,4,10,8,10,23,2,10,2,2,0,1,0,0
2016-12-07 00:00:00+00:00,134,134,112,11,42,58,80,62,4,17,13,15,15,3,12,1,0,0,0,0,0
2016-12-08 00:00:00+00:00,124,124,113,16,67,63,66,41,6,5,1,16,18,1,12,4,1,0,0,0,0
2016-12-09 00:00:00+00:00,130,130,111,19,97,47,52,69,6,13,5,15,29,0,3,6,2,1,0,2,0
2016-12-10 00:00:00+00:00,118,118,108,8,41,39,5,0,5,4,2,0,0,3,0,2,0,0,0,0,0
2016-12-11 00:00:00+00:00,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-12 00:00:00+00:00,213,213,200,19,66,84,52,68,2,11,6,9,28,5,3,1,0,1,0,2,0
2016-12-13 00:00:00+00:00,136,136,125,14,53,51,51,44,2,9,4,15,18,2,7,4,0,0,0,2,0
2016-12-14 00:00:00+00:00,154,154,140,12,35,54,64,35,3,11,5,13,20,1,9,3,0,0,0,1,0
2016-12-15 00:00:00+00:00,119,119,109,4,70,38,48,24,4,6,4,17,18,1,2,1,0,0,0,1,0
2016-12-16 00:00:00+00:00,97,97,86,4,64,28,63,40,4,6,4,16,21,0,1,2,0,0,1,0,0
2016-12-17 00:00:00+00:00,42,42,40,1,38,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-18 00:00:00+00:00,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2016-12-19 00:00:00+00:00,167,167,159,10,57,17,66,42,2,6,3,15,18,1,4,2,0,0,0,1,0
2016-12-20 00:00:00+00:00,148,148,128,7,73,7,54,35,5,10,4,8,27,0,6,0,0,1,0,0,0
2016-12-21 00:00:00+00:00,114,114,101,0,23,4,51,36,2,10,3,12,19,0,4,2,0,0,0,1,0
2016-12-22 00:00:00+00:00,89,89,78,2,213,2,40,363,3,6,4,10,16,0,2,0,2,0,1,0,0
2016-12-23 00:00:00+00:00,86,86,76,0,87,1,23,71,1,7,3,6,21,0,0,0,1,0,0,1,0
2016-12-24 00:00:00+00:00,18,18,16,1,33,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
